scenario,throughput_90d_uregen,fee_rate,total_fees_90d_uregen,burn_90d_uregen,validator_90d_uregen,community_90d_uregen,burn_pct_of_total_supply
40-30-30,25961800000,0.02,519236000.0,207694400.0,155770800.0,155770800.0,9.364282828623598e-05
50-25-25,25961800000,0.02,519236000.0,259618000.0,129809000.0,129809000.0,0.00011705353535779497
60-20-20,25961800000,0.02,519236000.0,311541600.0,103847200.0,103847200.0,0.00014046424242935396
